Question,Answer
"তুমি কেমন আছো?","আমি ভালো আছি, ধন্যবাদ। তুমি কেমন?"
"আজকের আবহাওয়া কেমন?","আজকের আবহাওয়া বেশ সুন্দর। তোমার দিনটা কেমন কাটছে?"
"সিনেমাটি কেমন লাগলো?","সিনেমাটি বেশ ভালো লাগলো। তোমার কী মতামত?"
"তোমার প্রিয় খাবার কী?","আমার প্রিয় খাবার বিরিয়ানি। তোমার প্রিয় খাবার কী?"
"আগামীকাল কি করছো?","আগামীকাল কিছু বন্ধুবান্ধবের সাথে দেখা করবো। তোমার পরিকল্পনা কী?"
"তুমি কোথায় থাকো?","আমি কলকাতায় থাকি। তুমি কোথায় থাকো?"
"তোমার স্কুল কোথায়?","আমার স্কুল কলকাতায়। তোমার স্কুল কোথায়?"
"তোমার পছন্দের রং কী?","আমার পছন্দের রং নীল। তোমার কী?"
"তুমি কোন ক্লাসে পড়ো?","আমি দশম শ্রেণীতে পড়ি। তুমি কোন ক্লাসে পড়ো?"
"তোমার প্রিয় খেলা কী?","আমার প্রিয় খেলা ফুটবল। তোমার প্রিয় খেলা কী?"
"তুমি কী করতে ভালোবাসো?","আমি বই পড়তে ভালোবাসি। তুমি কী করতে ভালোবাসো?"
"তোমার প্রিয় বই কী?","আমার প্রিয় বই 'গীতাঞ্জলি'। তোমার প্রিয় বই কী?"
"তুমি কোথায় কাজ করো?","আমি একটি সফটওয়্যার কোম্পানিতে কাজ করি। তুমি কোথায় কাজ করো?"
"আজকের দিন কেমন ছিল?","আজকের দিন বেশ ব্যস্ত ছিল। তোমার দিনটা কেমন গেল?"
"তুমি কতক্ষণ ধরে কাজ করছো?","আমি প্রায় আট ঘন্টা কাজ করছি। তুমি?"
"তোমার প্রিয় গান কোনটি?","আমার প্রিয় গান 'আমার সোনার বাংলা'। তোমার প্রিয় গান কী?"
"তুমি কি পড়াশোনা করছো?","হ্যাঁ, আমি কলেজে পড়ছি। তুমি কি পড়াশোনা করছো?"
"তোমার প্রিয় শহর কী?","আমার প্রিয় শহর কলকাতা। তোমার প্রিয় শহর কী?"
"তুমি কি ভ্রমণ পছন্দ করো?","হ্যাঁ, আমি ভ্রমণ করতে খুব পছন্দ করি। তুমি কীভাবে ভ্রমণ করো?"
"তুমি কি রাঁধতে পছন্দ করো?","হ্যাঁ, আমি রাঁধতে পছন্দ করি। তুমি কী রাঁধতে পছন্দ করো?"
"তোমার প্রিয় মুভি কী?","আমার প্রিয় মুভি 'পথের পাঁচালী'। তোমার প্রিয় মুভি কী?"
"তুমি কী নতুন কিছু শিখছো?","হ্যাঁ, আমি একটি নতুন ভাষা শিখছি। তুমি?"
"তোমার প্রিয় খেলা কোনটি?","আমার প্রিয় খেলা ক্রিকেট। তোমার প্রিয় খেলা কী?"
"তুমি কখন ঘুমাতে যাও?","আমি সাধারণত রাত ১১টায় ঘুমাতে যাই। তুমি?"
"তুমি কোন খেলায় আগ্রহী?","আমি ফুটবল খেলতে পছন্দ করি। তুমি?"
"তোমার প্রিয় সঙ্গীতশিল্পী কে?","আমার প্রিয় সঙ্গীতশিল্পী রবীন্দ্রনাথ ঠাকুর। তোমার প্রিয় কে?"
"তুমি কোন দেশে যেতে চাও?","আমি জাপান যেতে চাই। তুমি কোন দেশে যেতে চাও?"
"তুমি কোন ঋতু পছন্দ করো?","আমি শীতকাল পছন্দ করি। তুমি কোন ঋতু পছন্দ করো?"
"তোমার প্রিয় পত্রিকা কী?","আমার প্রিয় পত্রিকা 'আনন্দবাজার'। তোমার প্রিয় কী?"
"তুমি কী নতুন বন্ধু তৈরি করেছো?","হ্যাঁ, আমি কিছু নতুন বন্ধু তৈরি করেছি। তুমি?"
"তোমার প্রিয় কবিতা কোনটি?","আমার প্রিয় কবিতা 'কোন কনফারেন্সে নেই'। তোমার প্রিয় কবিতা কী?"
"তুমি কেমন মানুষের সাথে সময় কাটাতে পছন্দ করো?","আমি মজার এবং মেধাবী মানুষের সাথে সময় কাটাতে পছন্দ করি। তুমি?"
"তুমি কী কফি পছন্দ করো?","হ্যাঁ, আমি কফি পছন্দ করি। তুমি কী পছন্দ করো?"
"তুমি কীভাবে রাতের খাবার খাও?","আমি সাধারণত রাত ৮টায় খাবার খাই। তুমি?"
"তোমার প্রিয় পোষা প্রাণী কী?","আমার প্রিয় পোষা প্রাণী কুকুর। তোমার প্রিয় কী?"
"তুমি কোন সিনেমা দেখতে পছন্দ করো?","আমি হরর মুভি দেখতে পছন্দ করি। তুমি?"
"তুমি কীভাবে বিশ্রাম নাও?","আমি বই পড়ে আর গান শুনে বিশ্রাম নেই। তুমি?"
"তোমার পছন্দের লেখক কে?","আমার পছন্দের লেখক রবীন্দ্রনাথ ঠাকুর। তোমার পছন্দের লেখক কে?"
"তুমি কী ধরনের টিভি শো পছন্দ করো?","আমি ডকুমেন্টারি পছন্দ করি। তুমি কী পছন্দ করো?"
"তুমি কোন সঙ্গীত বাজাতে পছন্দ করো?","আমি পিয়ানো বাজাতে পছন্দ করি। তুমি?"
"তোমার প্রিয় সফটওয়্যার কী?","আমার প্রিয় সফটওয়্যার ফটোশপ। তোমার প্রিয় কী?"
"তুমি কী ধরনের চাকরি পছন্দ করো?","আমি সৃজনশীল চাকরি পছন্দ করি। তুমি?"
"তুমি কী ধরনের সিনেমা পছন্দ করো?","আমি কমেডি মুভি পছন্দ করি। তুমি?"
"তুমি কী নতুন বই পড়ছো?","হ্যাঁ, আমি নতুন একটা নভেল পড়ছি। তুমি?"
"আজকের আবহাওয়া কেমন?","আজকের আবহাওয়া বেশ সুন্দর। তোমার দিনটা কেমন কাটছে?"
"সিনেমাটি কেমন লাগলো?","সিনেমাটি বেশ ভালো লাগলো। তোমার কী মতামত?"
"তোমার প্রিয় খাবার কী?","আমার প্রিয় খাবার বিরিয়ানি। তোমার প্রিয় খাবার কী?"
"আগামীকাল কি করছো?","আগামীকাল কিছু বন্ধুবান্ধবের সাথে দেখা করবো। তোমার পরিকল্পনা কী?"
"তোমার পরিবারের কেমন আছে?","আমার পরিবার ভালো আছে। তোমার পরিবারের কেমন আছে?"
"তোমার কি কোনো শখ আছে?","আমার শখ হলো গান গাওয়া। তোমার কি কোনো শখ আছে?"
"তোমার কাজের কেমন আছে?","আমার কাজ ভালো আছে। তোমার কাজের কেমন আছে?"
"তোমার পড়াশোনার কেমন আছে?","আমার পড়াশোনা ভালো আছে। তোমার পড়াশোনার কেমন আছে?"
"তোমার কি কোনো ভ্রমণ পরিকল্পনা আছে?","আমার ভ্রমণ পরিকল্পনা আছে। তোমার কি কোনো ভ্রমণ পরিকল্পনা আছে?"
"তুমি কি গান শুনতে পছন্দ করো?","হ্যাঁ, আমি গান শুনতে পছন্দ করি। তুমি কি গান শুনতে পছন্দ করো?"
"তুমি কি খেলা খেলতে পছন্দ করো?","হ্যাঁ, আমি খেলা খেলতে পছন্দ করি। তুমি কি খেলা খেলতে পছন্দ করো?"
"তুমি কি প্রিয় বই পড়ো?","হ্যাঁ, আমি প্রিয় বই পড়ি। তুমি কি প্রিয় বই পড়ো?"
"তুমি কি প্রিয় সিনেমা দেখো?","হ্যাঁ, আমি প্রিয় সিনেমা দেখি। তুমি কি প্রিয় সিনেমা দেখো?"
"তুমি কি প্রিয় টিভি শো দেখো?","হ্যাঁ, আমি প্রিয় টিভি শো দেখি। তুমি কি প্রিয় টিভি শো দেখো?"
"তুমি কি প্রিয় খাবার খাও?","হ্যাঁ, আমি প্রিয় খাবার খাই। তুমি কি প্রিয় খাবার খাও?"
"তুমি কি প্রিয় গান শুনো?","হ্যাঁ, আমি প্রিয় গান শুনি। তুমি কি প্রিয় গান শুনো?"
"তুমি কি প্রিয় খেলা খেলো?","হ্যাঁ, আমি প্রিয় খেলা খেলি। তুমি কি প্রিয় খেলা খেলো?"
"তুমি কি প্রিয় বই পড়ো?","হ্যাঁ, আমি প্রিয় বই পড়ি। তুমি কি প্রিয় বই পড়ো?"
"তুমি কি প্রিয় সিনেমা দেখো?","হ্যাঁ, আমি প্রিয় সিনেমা দেখি। তুমি কি প্রিয় সিনেমা দেখো?"
"তুমি কি প্রিয় টিভি শো দেখো?","হ্যাঁ, আমি প্রিয় টিভি শো দেখি। তুমি কি প্রিয় টিভি শো দেখো?"
"তুমি কোন সঙ্গীত বাজাতে পছন্দ করো?","আমি গিটার বাজাতে পছন্দ করি। তুমি?"
"তুমি কেমন ধরনের ছুটি পছন্দ করো?","আমি সৈকতে সময় কাটাতে পছন্দ করি। তুমি?"
"তোমার প্রিয় স্মৃতি কোনটি?","আমার প্রিয় স্মৃতি আমার প্রথম ভ্রমণ। তোমার?"
"তুমি কীভাবে ব্যস্ত দিন কাটাও?","আমি বন্ধুদের সাথে সময় কাটিয়ে ব্যস্ত দিন কাটাই। তুমি কীভাবে কাটাও?"
"তুমি কি সিনেমা হল বা বাড়িতে মুভি দেখতে পছন্দ করো?","আমি বাড়িতে মুভি দেখতে পছন্দ করি। তুমি?"
"তুমি কোন দেশ ভ্রমণ করতে চাও?","আমি ইতালি ভ্রমণ করতে চাই। তুমি কোন দেশ?"
"তুমি কী ধরনের পোশাক পছন্দ করো?","আমি আরামদায়ক পোশাক পছন্দ করি। তুমি কী পছন্দ করো?"
"তুমি কি রান্না করতে ভালোবাসো?","হ্যাঁ, আমি রান্না করতে ভালোবাসি। তুমি কী রান্না করতে ভালোবাসো?"
"তোমার পছন্দের ছুটির স্থান কোনটি?","আমার পছন্দের ছুটির স্থান দার্জিলিং। তোমার পছন্দের কোনটি?"
"তুমি কোন খেলা দেখতে পছন্দ করো?","আমি ফুটবল খেলা দেখতে পছন্দ করি। তুমি কোন খেলা?"
"তুমি শীত বা গ্রীষ্ম, কোন ঋতু পছন্দ করো?","আমি শীতকাল পছন্দ করি। তুমি কোন ঋতু?"
"তুমি কোন ধরনের গল্প পছন্দ করো?","আমি রহস্য গল্প পছন্দ করি। তুমি কোন ধরনের?"
"তোমার পছন্দের চা কী?","আমার পছন্দের চা দার্জিলিং। তোমার পছন্দের চা কী?"
"তুমি কোন মিউজিয়াম পছন্দ করো?","আমি ইতিহাস মিউজিয়াম পছন্দ করি। তুমি কোনটি?"
"তুমি কী পেইন্টিং করতে পছন্দ করো?","হ্যাঁ, আমি পেইন্টিং করতে পছন্দ করি। তুমি কী পছন্দ করো?"
"তুমি কোন অনুষ্ঠান পছন্দ করো?","আমি সঙ্গীত অনুষ্ঠান পছন্দ করি। তুমি?"
"তোমার প্রিয় ঋতু কী?","আমার প্রিয় ঋতু বসন্ত। তোমার প্রিয় ঋতু কী?"
"তুমি কোন পত্রিকা পড়ো?","আমি 'আনন্দবাজার' পড়ি। তুমি কোন পত্রিকা?"
"তুমি কি প্রোগ্রামিং শিখছো?","হ্যাঁ, আমি প্রোগ্রামিং শিখছি। তুমি?"
"তুমি কোন সঙ্গীতশিল্পীর গান পছন্দ করো?","আমি লতা মঙ্গেশকরের গান পছন্দ করি। তুমি?"
"তুমি কোন সঙ্গীত বাজাতে পছন্দ করো?","আমি গিটার বাজাতে পছন্দ করি। তুমি?"
"তুমি কেমন ধরনের ছুটি পছন্দ করো?","আমি সৈকতে সময় কাটাতে পছন্দ করি। তুমি?"
"তোমার প্রিয় স্মৃতি কোনটি?","আমার প্রিয় স্মৃতি আমার প্রথম ভ্রমণ। তোমার?"
"তুমি কীভাবে ব্যস্ত দিন কাটাও?","আমি বন্ধুদের সাথে সময় কাটিয়ে ব্যস্ত দিন কাটাই। তুমি কীভাবে কাটাও?"
"তুমি কি সিনেমা হল বা বাড়িতে মুভি দেখতে পছন্দ করো?","আমি বাড়িতে মুভি দেখতে পছন্দ করি। তুমি?"
"তুমি কোন দেশ ভ্রমণ করতে চাও?","আমি ইতালি ভ্রমণ করতে চাই। তুমি কোন দেশ?"
"তুমি কী ধরনের পোশাক পছন্দ করো?","আমি আরামদায়ক পোশাক পছন্দ করি। তুমি কী পছন্দ করো?"
"তুমি কি রান্না করতে ভালোবাসো?","হ্যাঁ, আমি রান্না করতে ভালোবাসি। তুমি কী রান্না করতে ভালোবাসো?"
"তোমার পছন্দের ছুটির স্থান কোনটি?","আমার পছন্দের ছুটির স্থান দার্জিলিং। তোমার পছন্দের কোনটি?"
"তুমি কোন খেলা দেখতে পছন্দ করো?","আমি ফুটবল খেলা দেখতে পছন্দ করি। তুমি কোন খেলা?"
"তুমি শীত বা গ্রীষ্ম, কোন ঋতু পছন্দ করো?","আমি শীতকাল পছন্দ করি। তুমি কোন ঋতু?"
"তুমি কোন ধরনের গল্প পছন্দ করো?","আমি রহস্য গল্প পছন্দ করি। তুমি কোন ধরনের?"
"তোমার প্রিয় চা কী?","আমার প্রিয় চা দার্জিলিং। তোমার প্রিয় চা কী?"
"তুমি কোন মিউজিয়াম পছন্দ করো?","আমি ইতিহাস মিউজিয়াম পছন্দ করি। তুমি কোনটি?"
"তুমি কী পেইন্টিং করতে পছন্দ করো?","হ্যাঁ, আমি পেইন্টিং করতে পছন্দ করি। তুমি কী পছন্দ করো?"
"তুমি কোন অনুষ্ঠান পছন্দ করো?","আমি সঙ্গীত অনুষ্ঠান পছন্দ করি। তুমি?"
"তোমার প্রিয় ঋতু কী?","আমার প্রিয় ঋতু বসন্ত। তোমার প্রিয় ঋতু কী?"
"তুমি কোন পত্রিকা পড়ো?","আমি 'আনন্দবাজার' পড়ি। তুমি কোন পত্রিকা?"
"তুমি কি প্রোগ্রামিং শিখছো?","হ্যাঁ, আমি প্রোগ্রামিং শিখছি। তুমি?"
"তুমি কোন সঙ্গীতশিল্পীর গান পছন্দ করো?","আমি লতা মঙ্গেশকরের গান পছন্দ করি। তুমি?"
"তুমি কোন জায়গা ভ্রমণ করতে চাও?","আমি নেপাল ভ্রমণ করতে চাই। তুমি কোথায় যেতে চাও?"
"তুমি কি ধরনের ছুটি পছন্দ করো?","আমি পাহাড়ে সময় কাটাতে পছন্দ করি। তুমি?"
"তুমি কোন পরিবহনে ভ্রমণ করতে পছন্দ করো?","আমি ট্রেনে ভ্রমণ করতে পছন্দ করি। তুমি?"
"তুমি কি ধরনের খাবার পছন্দ করো?","আমি ভারতীয় খাবার পছন্দ করি। তুমি কোন ধরনের?"
"তুমি কোন ধরনের সিনেমা পছন্দ করো?","আমি রোম্যান্টিক মুভি পছন্দ করি। তুমি?"
"তোমার প্রিয় চকলেট কী?","আমার প্রিয় চকলেট ডার্ক চকলেট। তোমার প্রিয় কী?"
"তুমি কোন ধরনের কাজ পছন্দ করো?","আমি সৃজনশীল কাজ পছন্দ করি। তুমি?"
"তুমি কোন ধরনের গান পছন্দ করো?","আমি ক্লাসিকাল গান পছন্দ করি। তুমি?"
"তুমি কোন ফেস্টিভ্যাল পছন্দ করো?","আমি দুর্গাপুজো পছন্দ করি। তুমি কোন ফেস্টিভ্যাল?"
"তুমি কি ধরনের পরিবেশ পছন্দ করো?","আমি শহুরে পরিবেশ পছন্দ করি। তুমি?"
"তুমি কি ধরনের ছবি তুলতে পছন্দ করো?","আমি প্রকৃতির ছবি তুলতে পছন্দ করি। তুমি?"
"তোমার প্রিয় কার্টুন কী?","আমার প্রিয় কার্টুন 'টম অ্যান্ড জেরি'। তোমার প্রিয় কী?"
"তুমি কোন বই পড়ছো?","আমি হ্যারি পটার বই পড়ছি। তুমি?"
"তুমি কেমন কফি পছন্দ করো?","আমি ক্যাপুচিনো পছন্দ করি। তুমি?"
"তোমার প্রিয় ঋতু কোনটি?","আমার প্রিয় ঋতু বর্ষাকাল। তোমার?"
"তুমি কি ধরনের টিভি শো পছন্দ করো?","আমি থ্রিলার শো পছন্দ করি। তুমি?"
"তুমি কী ধরনের ছুটির দিন পছন্দ করো?","আমি নিরিবিলি এবং শান্ত ছুটির দিন পছন্দ করি। তুমি?"
"তুমি কোন ধরনের প্রকৃতি পছন্দ করো?","আমি পাহাড়ি এলাকা পছন্দ করি। তুমি?"
"তুমি কীভাবে প্রযুক্তি ব্যবহার করো?","আমি কাজ এবং বিনোদনের জন্য প্রযুক্তি ব্যবহার করি। তুমি?"
